日期,ID,金額
2018/3/5,A0648,695
2018/9/13,A0450,659
2018/1/12,A0581,656
2018/9/7,A0932,343
2018/1/12,A0421,458
2018/6/5,A0875,720
2018/4/18,A0833,703
2018/1/29,A0932,445
2018/11/22,A1037,594
2018/6/11,A1366,512
2018/6/26,A1073,588
2018/6/5,A0989,518
2018/5/6,A1386,496
2018/11/19,A0450,512
2018/11/23,A0474,446
2018/2/10,A0688,563
2018/12/1,A0867,689
2018/5/31,A0648,692
2018/12/28,A0625,505
2018/3/28,A1335,715
2018/8/25,A0941,406
2018/1/17,A0466,495
2018/9/3,A1251,632
2018/11/18,A0983,346
2018/10/6,A0566,412
2018/11/29,A1296,589
2018/3/8,A1175,722
2018/9/25,A0423,394
2018/3/8,A0626,320
2018/3/21,A0702,422
2018/7/7,A0737,733
2018/4/17,A0356,581
2018/3/31,A1249,582
2018/1/23,A0379,553
2018/2/13,A1195,537
2018/3/8,A0409,479
2018/1/27,A0713,566
2018/6/27,A0918,696
2018/4/25,A0789,648
2018/5/29,A0739,554
2018/10/27,A0474,722
2018/1/16,A1314,622
2018/4/10,A0843,606
2018/12/29,A0611,312
2018/4/2,A0725,353
2018/10/20,A0466,540
2018/9/3,A0420,640
2018/12/28,A0615,302
2018/10/18,A1241,577
2018/6/22,A1039,480
2018/6/20,A0925,368
2018/1/11,A0756,393
2018/6/21,A1015,350
2018/10/28,A0678,543
2019/1/1,A1301,724
2018/7/23,A0453,587
2018/2/27,A1160,400
2018/10/18,A0850,669
2018/9/24,A1182,700
2018/6/14,A0921,636
2018/9/3,A1284,531
2018/12/24,A1018,567
2018/9/11,A1195,349
2018/12/4,A1248,499
2018/11/14,A0579,616
2018/1/13,A0710,406
2018/4/14,A1279,697
2018/6/2,A1261,636
2018/7/22,A1175,479
2018/5/26,A0913,440
2018/11/17,A0510,501
2018/6/19,A1106,695
2018/11/24,A0904,528
2018/11/30,A0569,545
2018/11/19,A0875,538
2018/11/4,A0474,371
2018/9/16,A1371,666
2018/2/9,A1149,583
2018/2/6,A1170,415
2018/12/17,A0834,628
2018/1/14,A1363,553
2018/11/29,A0388,388
2018/7/6,A0725,731
2018/9/6,A0877,409
2018/11/28,A1287,516
2018/1/19,A1083,405
2018/10/22,A0877,530
2018/8/24,A0873,594
2018/4/15,A1022,467
2018/1/11,A1073,626
2018/9/1,A0442,611
2018/11/15,A1312,585
2018/2/25,A1251,641
2018/1/5,A0810,312
2018/10/31,A1136,503
2018/1/5,A1375,345
2018/8/5,A0863,656
2018/5/8,A0709,699
2018/5/17,A0726,413
2018/3/16,A0592,686
2018/2/4,A1191,458
2018/5/3,A1060,512
2018/4/11,A0586,744
2018/11/16,A1382,433
2018/1/20,A0813,706
2018/3/27,A0424,316
2018/6/11,A0688,462
2018/3/26,A0379,630
2018/1/9,A0786,475
2018/12/18,A0585,493
2018/8/14,A0466,569
2018/12/4,A1272,621
2018/6/24,A0404,636
2018/5/24,A1269,603
2018/5/16,A1152,663
2018/9/4,A0575,720
2018/1/19,A1241,572
2018/1/4,A1269,379
2018/10/4,A0895,617
2018/9/8,A0709,743
2018/4/21,A0624,687
2018/8/30,A0970,495
2018/3/4,A0443,553
2018/5/22,A0602,714
2018/6/29,A1258,730
2018/2/20,A1296,733
2018/2/8,A0474,390
2018/4/20,A0932,434
2018/10/25,A1118,634
2018/3/4,A0635,452
2018/6/10,A0730,642
2018/9/14,A1072,716
2018/5/12,A0544,716
2018/3/29,A0367,409
2018/2/17,A0914,711
2018/10/15,A1272,557
2018/2/17,A1000,590
2018/9/14,A1114,536
2018/4/4,A0741,324
2018/9/20,A1244,547
2018/5/3,A1272,405
2018/3/4,A0615,669
2018/6/18,A1073,693
2018/10/19,A0520,713
2018/10/21,A0964,550
2018/1/6,A0620,363
2018/5/18,A1261,732
2018/8/26,A0354,505
2018/3/7,A0725,301
2018/9/1,A0611,390
2018/4/21,A1102,552
2018/1/27,A0806,499
2018/9/15,A0774,716
2018/3/15,A1071,632
2018/3/9,A1069,418
2018/11/22,A0635,346
2018/4/24,A0947,542
2018/7/27,A1201,711
2018/5/2,A0932,642
2018/1/28,A1093,602
2018/9/17,A0864,600
2018/8/30,A0918,493
2018/2/17,A1093,733
2018/4/7,A0996,748
2018/9/15,A0605,474
2018/3/22,A0856,711
2018/4/2,A1384,713
2018/6/18,A0778,434
2018/5/7,A0647,623
2018/3/3,A1203,418
2018/2/5,A0837,707
2018/6/25,A0786,570
2018/10/21,A1113,690
2018/6/9,A0899,708
2018/7/31,A0592,707
2018/11/28,A0556,561
2018/8/5,A1104,460
2018/1/4,A0355,605
2018/9/2,A0923,480
2018/1/25,A1160,502
2018/4/23,A1128,304
2018/5/24,A0520,301
2018/7/11,A0877,424
2018/12/31,A0372,639
2018/10/27,A0637,472
2018/12/14,A0592,412
2018/1/7,A0365,350
2018/9/15,A1069,412
2018/5/10,A1046,470
2018/2/9,A1397,697
2018/10/2,A0951,516
2018/7/4,A1104,476
2018/5/26,A1359,670
2018/5/28,A0446,668
2018/12/26,A0481,635
2018/1/16,A0654,417
2018/5/9,A0996,445
2018/5/14,A1191,490
2018/5/14,A0772,570
2018/1/16,A0986,333
2018/8/22,A1378,486
2018/3/1,A0989,438
2018/9/28,A0498,589
2018/8/16,A0959,745
2018/5/7,A0776,434
2018/5/17,A0461,617
2018/2/7,A0454,695
2018/3/17,A0642,547
2018/11/22,A0541,441
2018/7/24,A0964,492
2018/9/18,A1118,706
2018/8/10,A0625,342
2018/5/23,A1004,352
2018/5/29,A0356,720
2018/11/10,A1104,488
2018/9/15,A0962,479
2018/3/30,A0725,730
2018/7/12,A0929,603
2018/9/3,A1402,301
2018/9/17,A1384,366
2018/6/18,A0467,630
2018/9/24,A0365,669
2018/2/5,A1182,520
2018/11/19,A0833,647
2018/10/4,A0442,478
2018/5/23,A1279,334
2018/12/28,A0554,730
2018/1/22,A1078,394
2018/2/21,A0487,641
2018/5/7,A1300,665
2018/5/31,A0786,665
2018/6/5,A1032,537
2018/2/22,A0435,580
2018/12/3,A1229,729
2018/6/10,A0722,431
2018/4/27,A0959,708
2018/10/8,A0938,328
2018/8/5,A0654,444
2018/3/15,A0765,351
2018/7/2,A0406,410
2018/1/15,A0741,403
2018/12/7,A1149,395
2018/11/4,A1359,451
2018/1/7,A1195,401
2018/8/14,A1384,656
2018/6/24,A1251,660
2018/12/21,A0395,502
2018/8/2,A0456,420
2018/10/16,A0592,574
2018/11/3,A0486,344
2018/2/26,A0517,352
2018/8/13,A1407,658
2018/10/8,A0741,653
2018/11/3,A1312,360
2018/6/25,A1374,332
2018/7/6,A0929,577
2018/1/20,A0636,400
2018/9/10,A1119,642
2018/7/26,A0585,496
2018/3/4,A0544,535
2018/5/7,A0871,310
2018/11/26,A1325,700
2018/6/14,A0556,552
2018/5/18,A1284,497
2018/6/17,A0517,668
2018/11/27,A1279,367
2018/5/6,A0757,340
2018/8/23,A1336,368
2018/5/2,A0401,737
2018/6/13,A1183,627
2018/5/11,A1147,536
2018/2/3,A0783,545
2018/7/7,A1289,431
2018/10/28,A1001,574
2018/10/14,A0404,413
2018/7/22,A0611,715
2018/12/29,A0683,442
2018/1/16,A1127,490
2018/3/20,A0421,559
2018/7/17,A0757,498
2018/2/18,A0827,626
2018/4/11,A1340,426
2018/4/6,A1248,339
2018/11/22,A1039,659
2018/12/16,A0998,500
2018/2/23,A0828,465
2018/3/20,A0565,352
2018/5/15,A0737,466
2018/7/21,A1132,441
2018/11/22,A0786,577
2018/10/21,A0688,694
2018/11/11,A0941,644
2018/3/13,A0368,386
2018/2/6,A0954,650
2018/3/18,A0783,580
2018/6/25,A0418,455
2018/8/30,A1072,667
2018/8/31,A1395,323
2018/8/26,A0466,307
2018/10/4,A0778,719
2018/2/27,A0871,435
2018/8/20,A1119,689
2018/5/24,A1229,559
2018/8/25,A1363,441
2018/3/15,A1308,484
2018/1/21,A0928,508
2018/8/12,A1244,718
2018/2/19,A0536,534
2018/12/22,A0774,627
2018/5/7,A0649,709
2018/4/25,A0859,522
2018/2/3,A0454,597
2018/1/30,A0544,519
2018/10/18,A0393,368
2018/2/13,A1296,709
2018/7/19,A0368,378
2018/4/18,A1279,355
2018/5/19,A1284,557
2018/4/7,A0620,515
2018/8/5,A1407,612
2018/8/12,A0611,565
2018/11/25,A0837,358
2018/7/17,A1300,483
2018/4/27,A1378,499
2018/3/28,A1118,397
2018/4/14,A1314,534
2018/4/30,A1123,664
2018/6/22,A0561,345
2018/11/16,A0923,523
2018/12/2,A0727,567
2018/1/28,A0895,404
2018/11/18,A0456,380
2018/7/3,A0867,418
2018/11/3,A1186,503
2018/1/11,A0372,687
2018/11/21,A0541,414
2018/12/25,A0525,489
2018/6/27,A0566,635
2018/12/12,A1093,708
2018/7/24,A1335,667
2018/8/22,A0877,435
2018/4/23,A0372,406
2018/7/3,A1211,505
2018/5/1,A0642,560
2018/7/8,A1190,513
2018/11/4,A0637,567
2018/6/21,A0867,735
2018/2/7,A0379,371
2018/3/7,A0368,391
2018/4/13,A0718,668
2018/11/16,A0478,487
2018/12/11,A0726,520
2018/12/21,A0873,521
2018/7/26,A0536,726
2018/2/3,A0789,309
2018/8/3,A0421,700
2018/6/18,A1378,682
2018/1/2,A0635,407
2018/4/25,A0863,314
2018/6/4,A0454,748
2018/2/4,A0372,610
2018/8/28,A0407,317
2018/5/19,A0443,567
2018/1/22,A0954,412
2018/1/10,A0661,619
2018/5/25,A0556,639
2018/2/28,A0790,516
2018/12/7,A0567,328
2018/2/2,A0975,674
2018/7/30,A1186,362
2018/10/26,A0407,436
2018/11/19,A1184,557
2018/12/25,A1301,329
2018/10/21,A1182,568
2018/10/7,A1407,335
2018/9/1,A0450,423
2018/5/18,A1017,736
2018/9/1,A1252,323
2018/12/28,A0683,539
2018/2/12,A1138,635
2018/6/14,A0702,699
2018/12/4,A0482,571
2018/11/20,A1241,484
2018/6/14,A0539,432
2018/3/28,A1210,328
2018/4/5,A0494,496
2018/12/30,A0561,505
2018/5/9,A0498,733
2018/9/15,A0807,534
2018/9/23,A1326,746
2018/4/10,A1013,550
2018/10/3,A1034,715
2018/8/6,A0536,550
2018/8/1,A0900,723
2018/12/1,A0935,600
2018/2/11,A0769,713
2018/9/13,A1243,688
2018/1/21,A0870,532
2018/1/16,A0718,591
2018/2/8,A0545,728
2018/3/31,A0404,602
2018/12/13,A0545,514
2018/8/26,A0886,457
2018/4/11,A1072,325
2018/1/4,A1295,417
2018/5/18,A0666,346
2018/1/29,A0615,506
2018/10/9,A0817,492
2018/11/22,A1217,665
2018/6/19,A0797,581
2018/2/19,A0648,732
2018/7/27,A0996,561
2018/5/14,A0877,640
2018/3/13,A0546,306
2018/9/25,A0484,479
2018/5/28,A0466,342
2018/12/24,A1015,547
2018/6/25,A1125,539
2018/7/1,A1125,669
2018/7/25,A0753,664
2018/1/3,A0424,310
2018/2/5,A1132,563
2018/12/13,A1119,398
2018/1/22,A0395,654
2018/7/27,A0368,637
2018/2/22,A1411,430
2018/3/20,A0777,632
2018/8/2,A0915,628
2018/9/6,A1073,393
2018/6/17,A0586,305
2018/11/30,A1102,430
2018/10/21,A1175,468
2018/1/24,A0511,718
2018/7/24,A1136,727
2018/2/7,A1063,470
2018/12/19,A0688,450
2018/1/24,A0609,435
2018/12/15,A1072,418
2018/3/20,A0925,648
2018/5/7,A0409,527
2018/7/25,A0389,490
2018/4/7,A1401,715
2018/2/10,A1160,682
2018/1/31,A1341,582
2018/1/17,A0356,552
2018/8/7,A0828,607
2018/8/3,A1123,506
2018/3/17,A0567,433
2018/7/28,A0383,339
2018/2/26,A1309,703
2018/2/18,A1309,636
2018/9/16,A1314,517
2018/8/8,A1217,394
2018/3/13,A0642,414
2018/9/15,A1201,426
2018/12/30,A1382,671
2018/7/16,A0886,391
2018/8/10,A1325,354
2018/3/17,A1031,427
2018/1/9,A0545,578
2018/3/31,A1249,339
2018/1/11,A1276,636
2018/8/23,A1049,452
2018/11/11,A1256,473
2018/1/5,A0409,581
2018/3/22,A0910,314
2018/5/12,A1093,358
2018/2/21,A0481,514
2018/3/31,A1150,700
2018/5/23,A1171,313
2018/2/2,A1138,350
2018/9/23,A0822,703
2018/1/21,A1242,602
2018/3/19,A1206,482
2018/10/12,A1258,423
2018/3/25,A0450,638
2018/3/16,A1326,478
2018/6/17,A0456,387
2018/2/6,A1191,479
2018/4/19,A1038,639
2018/9/30,A0581,616
2018/10/9,A0827,307
2018/1/26,A0923,558
2018/1/20,A0355,455
2018/6/1,A1300,335
2018/7/5,A1203,596
2018/7/7,A1173,699
2018/5/2,A1125,378
2018/2/18,A0625,608
2018/11/9,A0611,530
2018/4/21,A0929,440
2018/9/29,A0920,742
2018/6/9,A0569,515
2018/8/12,A1248,348
2018/7/7,A0867,382
2018/9/3,A1114,613
2018/9/26,A0928,415
2018/12/25,A1249,541
2018/4/30,A0554,393
2018/4/2,A0688,597
2018/11/21,A0383,718
2018/8/24,A1104,545
2018/4/30,A1001,388
2018/12/19,A0786,599
2018/10/4,A1049,602
2018/3/4,A1185,405
2018/12/13,A1374,675
2018/5/11,A1011,723
2018/4/4,A0434,722
2018/8/15,A1125,688
2018/1/10,A0525,704
2018/10/1,A1371,367
2018/8/20,A0822,606
2018/4/28,A1147,492
2018/5/18,A0442,418
2018/3/17,A1326,388
2018/6/25,A0666,360
2018/10/19,A1239,603
2018/8/13,A1185,519
2018/5/22,A0715,498
2018/1/14,A0778,746
2018/5/31,A1372,402
2018/11/28,A0499,656
2018/5/6,A1242,412
2018/4/22,A0498,604
2018/1/13,A0517,442
2018/5/22,A0545,534
2018/8/2,A0947,334
2018/6/9,A0758,411
2018/1/6,A0786,524
2018/10/28,A1098,450
2018/3/3,A0856,687
2018/11/13,A0822,389
2018/5/23,A0365,371
2018/8/2,A0424,389
2018/12/6,A1363,372
2018/2/28,A1261,723
2018/12/5,A0718,365
2018/9/4,A0951,379
2018/9/7,A1165,514
2018/3/28,A0356,389
2018/12/28,A0694,378
2018/8/7,A0466,673
2018/11/27,A0393,706
2018/1/6,A1227,667
2018/2/28,A1371,714
2018/9/29,A0854,707
2018/11/20,A0642,517
2018/6/29,A0561,642
2018/10/24,A1115,362
2018/1/22,A0368,376
2018/8/4,A1138,724
2018/7/7,A0975,413
2018/12/8,A0847,642
2018/3/4,A1108,591
2018/6/2,A1138,399
2018/9/2,A0715,471
2018/5/22,A1150,720
2018/4/20,A0913,390
2018/5/28,A1018,534
2018/1/20,A0967,343
2018/3/2,A0774,476
2018/7/6,A0694,479
2018/11/20,A1186,690
2018/12/6,A0355,545
2018/12/29,A0962,659
2018/4/5,A0383,454
2018/12/12,A0678,683
2018/11/12,A1223,672
2018/12/26,A0478,657
2018/5/2,A0827,645
2018/12/10,A0456,655
2018/8/20,A0950,544
2018/11/29,A0914,618
2018/2/16,A0372,680
2018/10/14,A1350,624
2018/5/8,A1015,653
2018/12/13,A0611,724
2018/11/20,A0517,430
2018/8/3,A1149,746
2018/4/18,A0803,572
2018/2/15,A1000,689
2018/4/25,A1132,473
2018/1/17,A1115,532
2018/5/25,A0688,648
2018/9/8,A1078,543
2018/10/10,A0863,559
2018/9/23,A1073,719
2018/8/17,A1128,552
2018/6/23,A1119,567
2018/4/25,A1195,344
2018/8/13,A1304,738
2018/9/1,A0741,395
2018/9/30,A1244,300
2018/8/5,A1108,340
2018/9/28,A1312,526
2018/6/2,A1289,479
2018/7/22,A1175,328
2018/3/10,A0918,314
2018/7/11,A1375,610
2018/3/15,A0424,451
2018/3/16,A1047,323
2018/8/4,A0649,673
2018/10/21,A1150,383
2018/1/5,A0807,389
2018/7/22,A0803,469
2018/4/1,A0356,369
2018/5/30,A1386,611
2018/9/26,A0499,611
2018/10/5,A0863,686
2018/5/10,A1308,399
2018/4/23,A1152,536
2018/9/20,A0783,708
2018/3/17,A1384,328
2018/10/23,A0454,440
2018/2/10,A1128,616
2018/7/24,A0605,621
2018/6/14,A1336,462
2018/5/27,A1217,388
2018/10/8,A0373,598
2018/9/5,A0886,535
2018/12/28,A0725,707
2018/10/18,A0482,563
2018/1/24,A1186,509
2018/6/17,A1191,338
2018/7/9,A1098,383
2018/10/29,A0975,522
2018/5/12,A0778,598
2018/5/9,A0354,550
2018/9/18,A0510,314
2018/6/15,A0494,307
2018/1/14,A0407,361
2018/2/3,A1134,497
2018/3/20,A1147,486
2018/7/23,A1264,555
2018/2/4,A1183,535
2018/7/13,A0625,690
2018/11/27,A0421,567
2018/12/23,A1279,393
2018/3/21,A1382,647
2018/2/7,A0550,423
2018/6/23,A0709,702
2018/4/27,A1015,735
2018/12/29,A1000,306
2018/9/28,A0900,696
2018/9/13,A0975,533
2018/10/15,A1363,318
2018/7/24,A1251,412
2018/4/14,A1341,735
2018/9/25,A1201,456
2018/6/2,A0569,381
2018/8/8,A0642,664
2018/2/15,A0609,611
2018/6/27,A0706,733
2018/9/16,A0871,375
2018/6/25,A1047,730
2018/2/12,A1168,303
2018/5/22,A0372,706
2018/5/23,A0736,592
2018/9/21,A0569,366
2018/11/27,A1165,438
2018/6/19,A1172,682
2018/8/15,A0722,627
2018/11/7,A1276,686
2018/6/7,A0935,699
2018/9/14,A1361,650
2018/9/3,A0640,308
2018/1/2,A0983,703
2018/5/23,A1241,697
2018/3/20,A1123,330
2018/11/28,A0790,460
2018/5/20,A0602,613
2018/3/18,A0778,353
2018/8/31,A0940,537
2018/10/27,A1401,587
2018/7/23,A0841,671
2018/4/10,A0739,706
2018/5/26,A1118,418
2018/12/7,A0523,501
2018/4/2,A1063,320
2018/9/25,A1113,586
2018/9/23,A1132,619
2018/11/25,A0671,374
2018/8/20,A0722,594
2018/12/8,A1138,591
2018/2/20,A0967,575
2018/9/22,A0782,385
2018/12/31,A0741,620
2018/5/19,A1063,441
2018/9/22,A1256,304
2018/10/17,A0778,339
2018/12/2,A1211,386
2018/9/10,A0523,332
2018/1/8,A0404,546
2018/6/24,A0541,321
2018/5/30,A0913,585
2018/8/26,A0928,334
2018/6/1,A1088,430
2018/3/24,A1072,636
2018/8/28,A0854,523
2018/12/16,A1049,394
2018/2/25,A1138,325
2018/3/19,A0615,539
2018/1/3,A1015,509
2018/5/18,A0850,315
2018/6/30,A1184,666
2018/8/27,A1168,686
2018/6/27,A1060,398
2018/5/19,A0395,619
2018/11/29,A0409,602
2018/9/4,A0446,707
2018/11/27,A0797,305
2018/12/3,A0837,367
2018/1/6,A1336,446
2018/2/1,A0510,444
2018/7/19,A1244,352
2018/4/3,A0918,364
2018/5/19,A1190,716
2018/11/14,A1047,567
2018/5/13,A0678,584
2018/10/23,A1123,608
2018/6/1,A1131,732
2018/8/9,A1152,564
2018/8/26,A1184,542
2018/11/2,A0791,531
2018/1/27,A0517,417
2018/7/15,A1407,361
2018/12/20,A0636,507
2018/10/4,A0611,484
2018/7/26,A1134,658
2018/6/5,A0998,577
2018/5/27,A0466,345
2018/12/30,A0920,439
2018/10/11,A1119,324
2018/11/2,A0940,484
2018/6/9,A0516,454
2018/7/18,A1031,748
2018/6/22,A0640,609
2018/11/11,A0418,682
2018/7/29,A0925,527
2018/3/29,A0395,472
2018/1/26,A1118,694
2018/2/19,A0435,551
2018/12/12,A0810,579
2018/9/13,A0895,362
2018/6/7,A0859,511
2018/4/30,A0550,654
2018/1/15,A0921,395
2018/12/31,A0841,744
2018/6/5,A0725,570
2018/12/26,A1039,338
2018/2/19,A0363,624
2018/12/24,A0370,699
2018/7/24,A1326,470
2018/1/12,A1206,458
2018/6/11,A0753,537
2018/2/20,A0737,517
2018/5/16,A0424,495
2018/9/27,A0833,473
2018/11/25,A0863,336
2018/12/18,A0615,661
2018/9/4,A0672,449
2018/2/11,A0726,371
2018/9/24,A0813,305
2018/6/23,A1171,748
2018/11/19,A1401,580
2018/8/25,A0710,579
2018/8/26,A1149,512
2018/2/14,A0778,648
2018/1/5,A0736,581
2018/3/25,A1272,382
2018/12/5,A0810,589
2018/10/28,A0536,536
2018/7/25,A1397,526
2018/8/8,A0647,505
2018/12/25,A0864,453
2018/9/28,A0615,365
2018/4/17,A1168,349
2018/8/6,A0967,339
2018/2/7,A0996,341
2018/11/13,A0565,488
2018/10/21,A1151,478
2018/11/21,A1325,336
2018/9/6,A0867,582
2018/1/19,A0913,676
2018/8/13,A1131,562
2018/11/29,A1365,526
2018/12/31,A1018,356
2018/2/10,A1239,741
2018/1/17,A1314,670
2018/2/18,A1397,339
2018/4/26,A1269,361
2018/4/26,A1091,675
2018/1/4,A0938,660
2018/6/21,A0839,360
2018/1/2,A0667,698
2018/11/10,A1284,562
2018/5/14,A1049,570
2018/7/20,A1136,403
2018/3/6,A1239,495
2018/6/11,A0517,578
2018/3/15,A0877,444
2018/10/25,A1182,504
2018/12/10,A0995,570
2018/4/2,A0393,613
2018/1/28,A0886,482
2018/2/17,A1361,576
2018/7/11,A0929,435
2018/3/14,A0726,496
2018/3/19,A1108,576
2018/2/15,A1112,365
2018/12/6,A1243,741
2018/8/28,A0565,500
2018/1/19,A0837,728
2018/4/26,A0351,500
2018/2/8,A0901,326
2018/2/5,A1123,677
2018/8/17,A1252,699
2018/7/3,A0891,721
2018/8/3,A0728,547
2018/4/24,A0847,730
2018/1/22,A0546,423
2018/5/17,A0516,498
2018/1/7,A1018,744
2018/10/24,A0544,599
2018/3/4,A1165,461
2018/2/5,A0732,318
2018/2/7,A0917,563
2018/9/17,A1206,344
2018/3/14,A1102,391
2018/9/19,A1295,353
2018/2/6,A0822,584
2018/3/30,A1243,540
2018/11/22,A1118,594
2018/9/30,A0986,732
2018/10/17,A0996,672
2018/5/16,A1132,491
2018/10/5,A0421,734
2018/6/19,A0901,307
2018/1/3,A0597,441
2018/8/1,A0517,749
2018/1/5,A1149,540
2018/1/18,A1229,429
2018/8/1,A0637,461
2018/5/11,A0841,620
2018/6/9,A1072,638
2018/11/17,A0873,734
2018/10/5,A0777,525
2018/4/16,A1288,489
2018/9/11,A1123,624
2018/8/2,A1295,411
2018/10/29,A0390,629
2018/3/24,A1309,509
2018/3/23,A0478,456
2018/11/24,A0418,646
2018/1/27,A0615,646
2018/9/17,A0895,624
2018/4/4,A0895,454
2018/9/29,A0715,642
2018/2/12,A0923,514
2018/12/19,A0351,492
2018/7/20,A1017,718
2018/11/18,A1083,628
2018/4/23,A1108,446
2018/1/12,A0918,367
2018/11/28,A0833,545
2018/11/4,A0864,425
2018/7/13,A1098,460
2018/8/24,A0550,595
2018/7/22,A1382,302
2018/3/28,A0864,610
2018/1/22,A0550,335
2018/3/17,A1151,425
2018/11/17,A0625,430
2018/12/21,A0709,302
2018/11/20,A0625,662
2018/11/25,A0393,631
2018/12/12,A1239,328
2018/7/24,A1229,315
